Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C4, C5",0402,6,100nF,C307331
"C10, C7, C8",0402,3,1uF,C52923
C6,0603,1,10uF,C96446
C9,0402,1,4.7uF,C23733
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D222, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D452, D46, D47, D48, D49, D5, D50, D51, D512, D52, D53, D54, D55, D56, D57, D58, D582, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D812, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91",D_SOD-123,96,D_Small,C81598
F1,1206,1,ASMD1206-150,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
L1,1206,1,60R@100MHz,C33600
Q1,SOT-23,1,2N7002,C8545
"R1, R2",0402,2,5.1k,C25905
"R3, R4",0402,2,10k,C25744
R5,0402,1,100k,C25741
SW1,SW_SPST_SKQG_WithoutStem,1,RESET,C318884
U1,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U3,SOT-143,1,PRTR5V0U2X,C2827688
