Designator,Mid X,Mid Y,Rotation,Layer
C1,196.400747,-168.575732,90,bottom
C10,203.0525,-178.59375,90,bottom
C11,186.6975,-62.152994,0,bottom
C2,200.025,-171.80125,90,bottom
C3,189.866506,-180.358974,270,bottom
C4,186.845,-172.24375,0,bottom
C5,200.505,-176.52625,180,bottom
C6,201.6125,-171.46875,90,bottom
C7,184.185781,-59.539333,0,bottom
C8,182.674977,-58.974001,270,bottom
C9,205.43375,-173.5175,270,bottom
D1,82.4025,-65.66,90,bottom
D10,253.8525,-65.66,90,bottom
D11,272.9025,-65.66,90,bottom
D12,291.9525,-65.66,90,bottom
D13,311.0025,-65.66,90,bottom
D14,330.0525,-65.66,90,bottom
D15,349.1025,-65.66,90,bottom
D16,82.41375,-84.7725,90,bottom
D17,101.46375,-84.7725,90,bottom
D18,120.51375,-84.7725,90,bottom
D19,139.56375,-84.7725,90,bottom
D2,101.4525,-65.66,90,bottom
D20,158.61375,-84.7725,90,bottom
D21,177.66375,-84.7725,90,bottom
D22,203.0525,-88.67875,270,bottom
D222,190.3525,-108.5225,90,bottom
D23,215.7525,-84.7725,90,bottom
D24,234.8025,-84.7725,90,bottom
D25,253.8525,-84.7725,90,bottom
D26,272.9025,-84.7725,90,bottom
D27,291.9525,-84.7725,90,bottom
D28,311.0025,-84.7725,90,bottom
D29,330.0525,-84.7725,90,bottom
D3,120.5025,-65.66,90,bottom
D30,349.1025,-84.7725,90,bottom
D31,82.41375,-103.8225,90,bottom
D32,101.46375,-103.8225,90,bottom
D33,120.51375,-103.8225,90,bottom
D34,139.56375,-103.8225,90,bottom
D35,158.61375,-103.8225,90,bottom
D36,177.66375,-103.8225,90,bottom
D37,215.7525,-103.8225,90,bottom
D38,234.8025,-103.8225,90,bottom
D39,253.8525,-103.8225,90,bottom
D4,139.5525,-65.66,90,bottom
D40,272.9025,-103.8225,90,bottom
D41,291.9525,-103.8225,90,bottom
D42,311.0025,-103.8225,90,bottom
D43,330.0525,-103.8225,90,bottom
D44,349.1025,-103.8225,90,bottom
D45,87.95875,-126.77875,270,bottom
D452,91.9275,-145.95375,270,bottom
D46,101.46375,-122.8725,90,bottom
D47,120.51375,-122.8725,90,bottom
D48,139.56375,-122.8725,90,bottom
D49,158.61375,-122.8725,90,bottom
D5,158.6025,-65.66,90,bottom
D50,177.66375,-122.8725,90,bottom
D51,203.0525,-126.77875,270,bottom
D512,190.3525,-146.685,90,bottom
D52,215.7525,-122.8725,90,bottom
D53,234.8025,-122.8725,90,bottom
D54,253.8525,-122.8725,90,bottom
D55,272.9025,-122.8725,90,bottom
D56,291.9525,-122.8725,90,bottom
D57,311.0025,-122.8725,90,bottom
D58,336.4025,-126.0475,270,bottom
D582,323.7025,-146.685,90,bottom
D59,349.1025,-122.8725,90,bottom
D6,177.6525,-65.66,90,bottom
D60,101.46375,-141.9225,90,bottom
D61,120.51375,-141.9225,90,bottom
D62,139.56375,-141.9225,90,bottom
D63,158.61375,-141.9225,90,bottom
D64,177.66375,-141.9225,90,bottom
D65,215.7525,-141.9225,90,bottom
D66,234.8025,-141.9225,90,bottom
D67,253.8525,-141.9225,90,bottom
D68,272.9025,-141.9225,90,bottom
D69,291.9525,-141.9225,90,bottom
D7,184.900184,-70.834528,90,bottom
D70,311.0025,-141.9225,90,bottom
D71,349.1025,-141.9225,90,bottom
D72,82.41375,-160.9725,90,bottom
D73,101.46375,-160.9725,90,bottom
D74,120.51375,-160.9725,90,bottom
D75,139.56375,-160.9725,90,bottom
D76,196.71375,-160.9725,90,bottom
D77,253.8525,-160.9725,90,bottom
D78,272.9025,-160.9725,90,bottom
D79,291.9525,-160.9725,90,bottom
D8,215.7525,-65.66,90,bottom
D80,311.0025,-160.9725,90,bottom
D81,336.4025,-164.1475,270,bottom
D812,323.7025,-183.99125,90,bottom
D82,349.1025,-160.9725,90,bottom
D83,82.41375,-180.0225,90,bottom
D84,106.22625,-180.0225,90,bottom
D85,134.80125,-180.0225,90,bottom
D86,253.8525,-180.0225,90,bottom
D87,272.9025,-180.0225,90,bottom
D88,291.9525,-180.0225,90,bottom
D89,311.0025,-180.0225,90,bottom
D9,234.8025,-65.66,90,bottom
D90,349.1025,-180.0225,90,bottom
D91,222.89625,-160.9725,90,bottom
F1,186.95273,-59.261456,270,bottom
J1,193.5275,-55.865045,180,bottom
L1,203.065,-58.57875,0,bottom
Q1,205.43375,-177.94375,90,bottom
R1,186.89375,-56.1975,180,bottom
R2,199.8775,-56.1975,0,bottom
R3,207.815,-178.59375,270,bottom
R4,207.02125,-172.527501,90,bottom
R5,204.92375,-175.41875,180,bottom
SW1,212.5775,-175.41875,0,bottom
U1,183.705781,-61.920583,270,bottom
U2,193.675,-175.41875,270,bottom
U3,190.3525,-61.75375,180,bottom
